Horizon started successfully.
[2021-03-24 08:30:20][20605] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20606] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:19][20602] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20607] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:19][20604] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:19][20603] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20611] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20606] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20619] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20619] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20633] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20610] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20610] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20629] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20626] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20604] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20622] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20622] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20634] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20615] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20615] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20630] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20603] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20627] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20623] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20614] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20614] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20631] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:20][20617] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20637] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20605] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20666] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20654] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20633] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20649] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20629] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20648] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20634] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20647] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20653] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20645] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20645] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20655] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20655] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20667] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20623] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20651] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20656] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20656] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20669] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20631] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20646] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20637] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20652] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20652] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:21][20664] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20664] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20668] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20666] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20673] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20673] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20681] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20611] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20674] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20674] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20693] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20607] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20688] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20647] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20694] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20667] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20687] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20679] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20669] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20695] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20680] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20680] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:22][20690] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20693] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20700] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20649] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20750] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20688] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20745] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20694] Processed:  App\Jobs\SwSyncSourceImageJob
